type,bank,distance,amount,min,medium,time,label
PERSON,ACCESS BANK,45,73000,60770,MOBILE,2023-02-26T06:01:13Z,Clean
PERSON,STERLING BANK,19,1115000,600,MOBILE,2023-02-26T06:08:13Z,Clean
PERSON,GTB,9,7000,40640,MOBILE,2023-02-26T06:11:23Z,Clean
PERSON,GTB,16,35000,12700,MOBILE,2023-02-26T06:16:06Z,Clean
PERSON,ACCESS BANK,23,19000,5950,MOBILE,2023-02-26T06:19:19Z,Clean
PERSON,UBA,8,30000,9910,MOBILE,2023-02-26T06:23:09Z,Clean
BUSINESS,ACCESS BANK,10,84000,27060,MOBILE,2023-02-26T07:02:08Z,Clean
PERSON,EXAMPLE BANK,14,1371000,13260,MOBILE,2023-02-26T07:16:00Z,Clean
PERSON,EXAMPLE BANK,22,7000,14840,MOBILE,2023-02-26T07:16:02Z,Clean
BUSINESS,UBA,6,151000,6090,WEB,2023-02-26T07:16:19Z,Fraud
PERSON,GTB,21,80000,6220,WEB,2023-02-26T08:07:13Z,Clean
PERSON,FIRST BANK,12,12000,11230,MOBILE,2023-02-26T08:08:22Z,Clean
PERSON,GTB,8,35000,13110,WEB,2023-02-26T08:17:00Z,Clean
PERSON,ECOBANK,3,9000,33660,MOBILE,2023-02-26T08:23:05Z,Clean
PERSON,ACCESS BANK,10,18000,64980,WEB,2023-02-26T08:23:23Z,Clean
PERSON,FIDELITY BANK,11,10000,7970,MOBILE,2023-02-26T09:09:21Z,Clean
PERSON,FIRST BANK,39,8000,64540,MOBILE,2023-02-26T09:10:05Z,Clean
PERSON,ECOBANK,7,242000,54240,MOBILE,2023-02-26T09:10:15Z,Clean
MERCHANT,OTHER_TIER1_BANKS,150,48000,9,MOBILE,2023-02-26T10:06:22Z,Fraud
MERCHANT,EXAMPLE BANK,3,8000,83520,MOBILE,2023-02-26T10:15:20Z,Clean
PERSON,GTB,7,20000,14620,MOBILE,2023-02-26T11:07:15Z,Clean
PERSON,ACCESS BANK,4,116000,53320,WEB,2023-02-26T12:03:22Z,Clean
PERSON,ACCESS BANK,4,258000,7230,MOBILE,2023-02-26T12:11:18Z,Clean
PERSON,EXAMPLE BANK,6,3000,9120,MOBILE,2023-02-26T13:04:11Z,Clean
PERSON,EXAMPLE BANK,0,17000,13880,MOBILE,2023-02-26T13:04:21Z,Clean
PERSON,FINTECH BANKS,7,61000,11710,MOBILE,2023-02-26T13:13:00Z,Clean
PERSON,UBA,11,12000,28580,MOBILE,2023-02-26T13:18:03Z,Clean
BUSINESS,ACCESS BANK,2,210000,8280,MOBILE,2023-02-26T13:20:18Z,Clean
MERCHANT,OTHER_TIER1_BANKS,34,259000,9640,MOBILE,2023-02-26T14:04:11Z,Clean
PERSON,ECOBANK,19,52000,3220,WEB,2023-02-26T14:05:02Z,Clean
PERSON,ECOBANK,10,269000,600,MOBILE,2023-02-26T14:14:00Z,Clean
PERSON,UBA,15,38000,13680,MOBILE,2023-02-26T14:19:22Z,Clean
PERSON,ACCESS BANK,6,41000,75130,MOBILE,2023-02-26T15:09:12Z,Clean
PERSON,FIRST BANK,5,17000,14980,WEB,2023-02-26T15:13:05Z,Clean
MERCHANT,ACCESS BANK,11,41000,60010,MOBILE,2023-02-26T15:13:09Z,Clean
PERSON,FIRST BANK,0,5000,14360,WEB,2023-02-26T15:20:00Z,Clean
PERSON,ECOBANK,31,8000,67100,WEB,2023-02-26T16:01:02Z,Clean
BUSINESS,GTB,15,18000,450,MOBILE,2023-02-26T16:02:19Z,Clean
PERSON,ECOBANK,27,74000,25540,MOBILE,2023-02-26T16:04:18Z,Clean
PERSON,FIRST BANK,12,46000,850,MOBILE,2023-02-26T16:16:10Z,Clean
PERSON,FIRST BANK,4,3000,47130,WEB,2023-02-26T16:19:20Z,Clean
PERSON,FINTECH BANKS,1,15000,32440,MOBILE,2023-02-26T17:04:08Z,Clean
MERCHANT,ECOBANK,26,32000,12590,WEB,2023-02-26T17:10:08Z,Clean
PERSON,EXAMPLE BANK,1,189000,11500,WEB,2023-02-26T17:23:23Z,Clean
MERCHANT,FIRST BANK,6,5000,12340,MOBILE,2023-02-26T18:16:13Z,Clean
PERSON,UBA,11,17000,48020,MOBILE,2023-02-26T19:13:14Z,Clean
PERSON,ACCESS BANK,20,19000,13670,MOBILE,2023-02-26T20:01:20Z,Clean
PERSON,FIRST BANK,10,44000,13390,WEB,2023-02-26T20:06:22Z,Clean
PERSON,STERLING BANK,20,207000,38770,MOBILE,2023-02-26T20:08:20Z,Clean
PERSON,FINTECH BANKS,16,132000,64830,WEB,2023-02-26T20:17:14Z,Clean
PERSON,GTB,2,35000,48610,WEB,2023-02-26T21:02:07Z,Clean
PERSON,FIRST BANK,5,1773000,8300,MOBILE,2023-02-26T21:10:21Z,Clean
PERSON,GTB,3,17000,67420,WEB,2023-02-26T21:19:20Z,Clean
PERSON,ACCESS BANK,39,230000,12810,MOBILE,2023-02-26T21:22:12Z,Clean
PERSON,FINTECH BANKS,6,8000,7040,MOBILE,2023-02-26T23:08:22Z,Clean
PERSON,GTB,0,970000,27730,WEB,2023-02-26T23:10:03Z,Clean
PERSON,FIRST BANK,12,1815000,26530,IN-BRANCH,2023-02-26T23:13:19Z,Clean
PERSON,FIRST BANK,10,17000,14290,WEB,2023-02-26T23:19:04Z,Clean
PERSON,ECOBANK,8,10000,49140,MOBILE,2023-02-27T00:07:03Z,Clean
PERSON,FIRST BANK,11,33000,58840,MOBILE,2023-02-27T00:12:05Z,Clean
PERSON,FIRST BANK,18,47000,7930,IN-BRANCH,2023-02-27T00:13:15Z,Clean
PERSON,FIRST BANK,22,9000,14230,MOBILE,2023-02-27T00:15:14Z,Clean
PERSON,ACCESS BANK,5,57000,14410,MOBILE,2023-02-27T00:17:18Z,Clean
PERSON,FINTECH BANKS,18,57000,46810,MOBILE,2023-02-27T00:20:14Z,Clean
PERSON,GTB,2,16000,34200,MOBILE,2023-02-27T01:16:09Z,Clean
PERSON,FIRST BANK,19,71000,13950,MOBILE,2023-02-27T01:17:11Z,Clean
PERSON,GTB,15,216000,37120,MOBILE,2023-02-27T01:19:23Z,Clean
PERSON,FINTECH BANKS,11,42000,760,MOBILE,2023-02-27T02:09:22Z,Clean
MERCHANT,ECOBANK,3,291000,10560,MOBILE,2023-02-27T02:10:04Z,Fraud
MERCHANT,FINTECH BANKS,129,247000,8,MOBILE,2023-02-27T02:14:11Z,Fraud
PERSON,STERLING BANK,28,15000,36250,MOBILE,2023-02-27T02:16:18Z,Clean
PERSON,FIRST BANK,14,266000,6,MOBILE,2023-02-27T02:23:10Z,Clean
PERSON,GTB,9,17000,70350,MOBILE,2023-02-27T03:00:19Z,Clean
MERCHANT,FINTECH BANKS,0,2000,8470,MOBILE,2023-02-27T03:14:12Z,Clean
PERSON,FIRST BANK,10,86000,38550,MOBILE,2023-02-27T03:16:18Z,Clean
PERSON,FINTECH BANKS,9,74000,13130,MOBILE,2023-02-27T03:19:13Z,Clean
PERSON,ACCESS BANK,14,4000,51440,MOBILE,2023-02-27T04:02:09Z,Clean
PERSON,GTB,17,41000,13000,MOBILE,2023-02-27T04:14:18Z,Clean
PERSON,GTB,2,277000,4730,MOBILE,2023-02-27T04:16:00Z,Clean
PERSON,GTB,11,33000,920,MOBILE,2023-02-27T05:00:15Z,Clean
PERSON,FINTECH BANKS,8,279000,38850,MOBILE,2023-02-27T05:09:22Z,Clean
PERSON,ACCESS BANK,15,74000,25750,MOBILE,2023-02-27T05:16:20Z,Clean
PERSON,OTHER_TIER1_BANKS,32,472000,22740,MOBILE,2023-02-27T05:21:05Z,Clean
MERCHANT,ECOBANK,36,5000,14980,MOBILE,2023-02-27T06:10:22Z,Clean
PERSON,FIRST BANK,15,72000,48870,MOBILE,2023-02-27T06:12:11Z,Clean
BUSINESS,FIRST BANK,7,63000,31590,MOBILE,2023-02-27T06:13:14Z,Clean
PERSON,FIRST BANK,11,2000,730,WEB,2023-02-27T07:05:17Z,Clean
PERSON,UBA,6,35000,310,MOBILE,2023-02-27T07:10:04Z,Clean
PERSON,GTB,5,217000,14080,MOBILE,2023-02-27T07:22:01Z,Clean
PERSON,FIRST BANK,21,91000,10040,MOBILE,2023-02-27T08:06:20Z,Clean
PERSON,FIDELITY BANK,11,32000,980,MOBILE,2023-02-27T08:07:02Z,Clean
BUSINESS,FINTECH BANKS,106,73000,640,WEB,2023-02-27T09:05:06Z,Fraud
PERSON,OTHER_TIER1_BANKS,9,39000,11290,MOBILE,2023-02-27T09:07:15Z,Clean
PERSON,FIRST BANK,18,9000,14380,WEB,2023-02-27T09:07:21Z,Clean
PERSON,FIRST BANK,18,71000,680,MOBILE,2023-02-27T09:08:22Z,Clean
PERSON,OTHER_TIER1_BANKS,11,51000,67170,MOBILE,2023-02-27T09:10:01Z,Clean
PERSON,ECOBANK,20,74000,35520,MOBILE,2023-02-27T09:10:03Z,Clean
MERCHANT,FINTECH BANKS,7,44000,9680,MOBILE,2023-02-27T09:10:04Z,Clean
PERSON,ACCESS BANK,8,68000,8350,IN-BRANCH,2023-02-27T09:11:15Z,Clean
PERSON,ACCESS BANK,16,466000,37830,MOBILE,2023-02-27T09:17:00Z,Clean
PERSON,FIRST BANK,2,418000,12560,WEB,2023-02-27T10:01:00Z,Clean
PERSON,FIRST BANK,7,40000,82610,MOBILE,2023-02-27T10:14:21Z,Clean
PERSON,UBA,6,260000,11000,MOBILE,2023-02-27T10:15:18Z,Clean
PERSON,GTB,9,50000,65880,MOBILE,2023-02-27T10:15:18Z,Clean
PERSON,GTB,8,121000,12120,MOBILE,2023-02-27T11:02:03Z,Clean
BUSINESS,FINTECH BANKS,11,993000,8340,MOBILE,2023-02-27T11:08:02Z,Clean
PERSON,GTB,18,15000,13480,MOBILE,2023-02-27T11:12:06Z,Clean
PERSON,FIRST BANK,16,68000,450,MOBILE,2023-02-27T11:17:09Z,Clean
MERCHANT,OTHER_TIER1_BANKS,7,8000,51040,MOBILE,2023-02-27T11:19:21Z,Clean
PERSON,FINTECH BANKS,11,13000,13800,PHONE,2023-02-27T12:02:02Z,Clean
PERSON,ACCESS BANK,46,48000,58030,MOBILE,2023-02-27T12:07:10Z,Clean
PERSON,GTB,4,361000,87780,MOBILE,2023-02-27T12:12:17Z,Clean
PERSON,ACCESS BANK,9,286000,330,MOBILE,2023-02-27T12:21:10Z,Clean
PERSON,UBA,4,416000,36080,MOBILE,2023-02-27T13:02:19Z,Clean
PERSON,GTB,14,15000,13520,MOBILE,2023-02-27T13:04:09Z,Clean
PERSON,ACCESS BANK,7,1000,68200,WEB,2023-02-27T13:16:15Z,Clean
PERSON,FIRST BANK,4,14000,1010,MOBILE,2023-02-27T13:23:21Z,Clean
MERCHANT,ECOBANK,552,43000,1,MOBILE,2023-02-27T14:05:18Z,Fraud
PERSON,ACCESS BANK,12,80000,4540,MOBILE,2023-02-27T14:10:02Z,Clean
PERSON,ACCESS BANK,15,1585000,40570,MOBILE,2023-02-27T14:10:15Z,Clean
PERSON,FIDELITY BANK,22,51000,620,MOBILE,2023-02-27T14:18:05Z,Clean
PERSON,FIRST BANK,6,63000,37880,WEB,2023-02-27T14:23:22Z,Clean
PERSON,GTB,12,54000,9150,MOBILE,2023-02-27T15:05:23Z,Clean
PERSON,GTB,22,230000,52730,MOBILE,2023-02-27T15:22:01Z,Clean
PERSON,UBA,12,13000,30890,MOBILE,2023-02-27T16:03:08Z,Clean
PERSON,FINTECH BANKS,7,67000,730,MOBILE,2023-02-27T16:09:11Z,Clean
PERSON,STERLING BANK,4,49000,12250,MOBILE,2023-02-27T16:10:10Z,Clean
PERSON,GTB,17,18000,90,MOBILE,2023-02-27T16:13:10Z,Clean
PERSON,GTB,35,87000,8540,IN-BRANCH,2023-02-27T17:03:00Z,Clean
PERSON,UBA,13,234000,4890,MOBILE,2023-02-27T17:07:02Z,Clean
PERSON,UBA,29,74000,73340,MOBILE,2023-02-27T17:11:06Z,Clean
PERSON,FIDELITY BANK,44,318000,82810,MOBILE,2023-02-27T17:12:04Z,Clean
PERSON,ACCESS BANK,3,44000,340,IN-BRANCH,2023-02-27T17:17:11Z,Clean
PERSON,FINTECH BANKS,6,75000,11350,MOBILE,2023-02-27T17:22:15Z,Clean
PERSON,EXAMPLE BANK,10,17000,9000,MOBILE,2023-02-27T18:06:06Z,Clean
PERSON,ACCESS BANK,10,55000,12320,MOBILE,2023-02-27T18:08:06Z,Clean
PERSON,UBA,5,252000,890,MOBILE,2023-02-27T18:17:22Z,Clean
PERSON,GTB,6,68000,1160,MOBILE,2023-02-27T18:21:05Z,Clean
PERSON,FINTECH BANKS,82,50000,950,MOBILE,2023-02-27T19:02:08Z,Fraud
PERSON,FINTECH BANKS,7,791000,82370,MOBILE,2023-02-27T19:08:05Z,Clean
MERCHANT,ACCESS BANK,3,12000,37960,WEB,2023-02-27T19:12:21Z,Clean
PERSON,FINTECH BANKS,166,35000,20,MOBILE,2023-02-27T19:16:14Z,Fraud
PERSON,UBA,22,1432000,1170,MOBILE,2023-02-27T20:09:13Z,Clean
PERSON,FINTECH BANKS,30,5000,12450,MOBILE,2023-02-27T20:14:16Z,Clean
PERSON,FIRST BANK,33,158000,12930,MOBILE,2023-02-27T20:22:17Z,Clean
PERSON,GTB,1,36000,75180,MOBILE,2023-02-27T21:07:09Z,Clean
PERSON,FINTECH BANKS,13,41000,13450,MOBILE,2023-02-27T21:10:11Z,Clean
MERCHANT,GTB,9,3000,72640,MOBILE,2023-02-27T21:19:06Z,Clean
MERCHANT,FIDELITY BANK,10,3000,89360,MOBILE,2023-02-27T22:02:05Z,Clean
PERSON,FIRST BANK,12,208000,50100,MOBILE,2023-02-27T22:04:07Z,Clean
PERSON,FIRST BANK,1,43000,300,MOBILE,2023-02-27T22:17:15Z,Clean
PERSON,FINTECH BANKS,4,1000,12030,MOBILE,2023-02-27T23:05:20Z,Clean
PERSON,STERLING BANK,0,278000,13350,MOBILE,2023-02-27T23:12:02Z,Clean
PERSON,STERLING BANK,7,17000,77920,MOBILE,2023-02-27T23:18:01Z,Clean
PERSON,FINTECH BANKS,11,1268000,68920,MOBILE,2023-02-28T00:07:09Z,Clean
PERSON,FINTECH BANKS,2,78000,14720,WEB,2023-02-28T00:13:08Z,Clean
MERCHANT,FINTECH BANKS,31,19000,83550,MOBILE,2023-02-28T01:05:03Z,Clean
MERCHANT,FIRST BANK,40,34000,20260,MOBILE,2023-02-28T01:21:20Z,Clean
PERSON,EXAMPLE BANK,12,8000,40460,MOBILE,2023-02-28T02:10:17Z,Clean
PERSON,GTB,7,20000,58560,IN-BRANCH,2023-02-28T02:14:00Z,Clean
PERSON,ACCESS BANK,13,1940000,11890,MOBILE,2023-02-28T02:14:06Z,Clean
PERSON,ECOBANK,10,254000,9210,MOBILE,2023-02-28T02:14:06Z,Clean
PERSON,ACCESS BANK,9,71000,60810,MOBILE,2023-02-28T02:17:17Z,Clean
PERSON,FIDELITY BANK,11,121000,65990,MOBILE,2023-02-28T02:19:06Z,Clean
PERSON,OTHER_TIER1_BANKS,7,34000,67970,MOBILE,2023-02-28T03:12:22Z,Clean
PERSON,GTB,15,50000,13710,MOBILE,2023-02-28T03:16:11Z,Clean
PERSON,OTHER_TIER1_BANKS,3,58000,14520,WEB,2023-02-28T04:03:09Z,Clean
PERSON,GTB,12,60000,9020,MOBILE,2023-02-28T04:15:23Z,Clean
PERSON,FIDELITY BANK,4,50000,31890,MOBILE,2023-02-28T04:16:03Z,Clean
PERSON,FIRST BANK,4,8000,14110,MOBILE,2023-02-28T04:18:18Z,Clean
PERSON,FIRST BANK,11,90000,44870,MOBILE,2023-02-28T04:20:02Z,Clean
PERSON,FIRST BANK,59,188000,76520,MOBILE,2023-02-28T05:01:14Z,Clean
BUSINESS,FIRST BANK,15,799000,87790,MOBILE,2023-02-28T05:03:11Z,Clean
PERSON,ACCESS BANK,6,222000,12460,WEB,2023-02-28T05:23:00Z,Clean
PERSON,FIRST BANK,5,16000,12710,WEB,2023-02-28T06:02:12Z,Clean
BUSINESS,ACCESS BANK,6,57000,49700,MOBILE,2023-02-28T06:08:14Z,Clean
PERSON,ACCESS BANK,20,3000,14880,MOBILE,2023-02-28T06:19:13Z,Clean
PERSON,ECOBANK,3,285000,14300,MOBILE,2023-02-28T06:19:16Z,Clean
PERSON,ACCESS BANK,29,1366000,14500,MOBILE,2023-02-28T06:21:04Z,Clean
PERSON,FIRST BANK,24,59000,12430,WEB,2023-02-28T07:15:02Z,Clean
PERSON,EXAMPLE BANK,8,675000,30380,MOBILE,2023-02-28T07:16:15Z,Clean
PERSON,ECOBANK,26,15000,75250,WEB,2023-02-28T07:16:17Z,Clean
PERSON,ACCESS BANK,16,295000,32010,MOBILE,2023-02-28T08:14:06Z,Clean
PERSON,ACCESS BANK,15,63000,32540,MOBILE,2023-02-28T09:00:04Z,Clean
MERCHANT,FINTECH BANKS,8,7000,78400,MOBILE,2023-02-28T09:05:05Z,Clean
PERSON,GTB,7,17000,12040,WEB,2023-02-28T09:06:15Z,Clean
PERSON,FINTECH BANKS,10,9000,66930,MOBILE,2023-02-28T09:09:23Z,Clean
PERSON,UBA,9,1942000,20340,MOBILE,2023-02-28T09:11:05Z,Clean
PERSON,GTB,1,35000,27230,MOBILE,2023-02-28T09:14:04Z,Clean
PERSON,ECOBANK,3,58000,10450,MOBILE,2023-02-28T09:16:02Z,Clean
PERSON,UBA,5,20000,8120,MOBILE,2023-02-28T09:18:11Z,Clean
PERSON,UBA,2,227000,430,MOBILE,2023-02-28T09:22:09Z,Clean
MERCHANT,FIRST BANK,8,73000,13550,MOBILE,2023-02-28T10:02:08Z,Clean
PERSON,FIRST BANK,6,16000,12690,MOBILE,2023-02-28T10:08:19Z,Clean
PERSON,STERLING BANK,8,218000,1940,MOBILE,2023-02-28T10:15:15Z,Clean
PERSON,FIRST BANK,1,204000,4390,MOBILE,2023-02-28T10:21:23Z,Clean
PERSON,OTHER_TIER1_BANKS,25,269000,13850,WEB,2023-02-28T10:23:07Z,Clean
PERSON,FINTECH BANKS,218,73000,40,WEB,2023-02-28T11:15:11Z,Clean
PERSON,ACCESS BANK,9,13000,86230,MOBILE,2023-02-28T11:20:06Z,Clean
PERSON,GTB,12,62000,14810,IN-BRANCH,2023-02-28T11:23:14Z,Clean
PERSON,FIRST BANK,3,16000,26750,MOBILE,2023-02-28T12:05:12Z,Clean
PERSON,ACCESS BANK,4,118000,65900,MOBILE,2023-02-28T12:14:18Z,Clean
PERSON,OTHER_TIER1_BANKS,3,10000,26070,MOBILE,2023-02-28T12:16:01Z,Clean
PERSON,FINTECH BANKS,6,275000,950,MOBILE,2023-02-28T12:16:21Z,Clean
MERCHANT,FIRST BANK,5,48000,80340,MOBILE,2023-02-28T12:19:16Z,Clean
PERSON,FIRST BANK,2,289000,1110,MOBILE,2023-02-28T13:06:19Z,Clean
PERSON,FIRST BANK,6,238000,23770,MOBILE,2023-02-28T13:20:07Z,Clean
PERSON,GTB,14,32000,8980,MOBILE,2023-02-28T13:20:08Z,Clean
PERSON,GTB,14,2000,10050,MOBILE,2023-02-28T14:06:14Z,Clean
PERSON,GTB,15,65000,33160,MOBILE,2023-02-28T14:10:05Z,Clean
MERCHANT,OTHER_TIER1_BANKS,4,291000,37470,WEB,2023-02-28T14:13:00Z,Clean
PERSON,FIRST BANK,20,92000,6550,MOBILE,2023-02-28T14:18:18Z,Clean
PERSON,FIRST BANK,5,242000,660,MOBILE,2023-02-28T14:20:09Z,Clean
PERSON,FIRST BANK,14,64000,12260,MOBILE,2023-02-28T15:04:15Z,Clean
PERSON,ACCESS BANK,37,775000,73370,MOBILE,2023-02-28T15:12:19Z,Clean
PERSON,FIRST BANK,34,7000,690,MOBILE,2023-02-28T15:15:15Z,Clean
PERSON,FIRST BANK,7,234000,14890,MOBILE,2023-02-28T15:21:12Z,Clean
MERCHANT,GTB,10,70000,8310,MOBILE,2023-02-28T15:22:14Z,Clean
PERSON,GTB,21,1654000,39230,PHONE,2023-02-28T16:01:11Z,Clean
PERSON,GTB,10,344000,12190,MOBILE,2023-02-28T16:06:06Z,Clean
PERSON,FIRST BANK,11,14000,82170,WEB,2023-02-28T16:22:01Z,Clean
PERSON,UBA,15,73000,59040,MOBILE,2023-02-28T17:08:06Z,Clean
BUSINESS,FIRST BANK,3,9000,84830,MOBILE,2023-02-28T17:08:20Z,Clean
PERSON,FIRST BANK,40,2000,42050,MOBILE,2023-02-28T17:13:22Z,Clean
PERSON,FIRST BANK,407,73000,40,MOBILE,2023-02-28T17:18:01Z,Fraud
PERSON,FINTECH BANKS,9,157000,11700,WEB,2023-02-28T17:18:12Z,Clean
PERSON,FIDELITY BANK,5,243000,60450,IN-BRANCH,2023-02-28T18:00:14Z,Clean
MERCHANT,ACCESS BANK,1,50000,4390,MOBILE,2023-02-28T18:16:13Z,Clean
PERSON,GTB,8,45000,74240,WEB,2023-02-28T19:00:19Z,Clean
PERSON,UBA,9,42000,38530,MOBILE,2023-02-28T19:01:17Z,Clean
PERSON,FIRST BANK,8,13000,55170,MOBILE,2023-02-28T19:03:02Z,Clean
PERSON,ACCESS BANK,8,1688000,29730,MOBILE,2023-02-28T19:16:23Z,Clean
MERCHANT,OTHER_TIER1_BANKS,7,241000,13000,WEB,2023-02-28T19:17:16Z,Clean
PERSON,ACCESS BANK,21,7000,480,MOBILE,2023-02-28T20:14:22Z,Clean
PERSON,GTB,8,100000,82680,MOBILE,2023-02-28T20:19:05Z,Clean
PERSON,FIDELITY BANK,28,68000,49610,MOBILE,2023-02-28T20:21:16Z,Clean
PERSON,FIDELITY BANK,6,35000,5870,WEB,2023-02-28T21:13:19Z,Clean
PERSON,ECOBANK,21,164000,20260,MOBILE,2023-02-28T21:16:00Z,Clean
PERSON,FINTECH BANKS,8,186000,9140,MOBILE,2023-02-28T21:20:04Z,Clean
BUSINESS,FIRST BANK,77,273000,40,MOBILE,2023-02-28T21:21:11Z,Fraud
PERSON,FIRST BANK,11,52000,31540,MOBILE,2023-02-28T21:22:18Z,Clean
PERSON,UNION BANK,24,30000,79920,MOBILE,2023-02-28T21:23:20Z,Clean
MERCHANT,FINTECH BANKS,7,293000,41450,MOBILE,2023-02-28T22:01:18Z,Clean
PERSON,ACCESS BANK,12,155000,9280,MOBILE,2023-02-28T22:01:20Z,Clean
PERSON,FIRST BANK,11,8000,32000,MOBILE,2023-02-28T22:02:04Z,Clean
PERSON,ECOBANK,12,1186000,74790,MOBILE,2023-02-28T22:03:04Z,Clean
PERSON,FIRST BANK,10,41000,490,IN-BRANCH,2023-02-28T22:06:07Z,Clean
PERSON,FIRST BANK,2,3000,7280,MOBILE,2023-02-28T22:18:20Z,Clean
MERCHANT,FIDELITY BANK,18,201000,1170,WEB,2023-02-28T23:13:01Z,Clean
PERSON,ACCESS BANK,12,10000,5220,WEB,2023-02-28T23:13:19Z,Clean
PERSON,FIDELITY BANK,2,18000,13520,MOBILE,2023-02-29T00:06:23Z,Clean
PERSON,FINTECH BANKS,17,13000,620,MOBILE,2023-02-29T00:13:12Z,Clean
PERSON,EXAMPLE BANK,7,44000,910,MOBILE,2023-02-29T00:18:04Z,Clean
PERSON,ACCESS BANK,18,201000,34660,MOBILE,2023-02-29T00:20:05Z,Clean
PERSON,OTHER_TIER1_BANKS,10,2000,570,MOBILE,2023-02-29T01:07:13Z,Clean
PERSON,ACCESS BANK,7,17000,70250,MOBILE,2023-02-29T01:11:23Z,Clean
PERSON,GTB,13,35000,420,MOBILE,2023-02-29T01:13:12Z,Clean
PERSON,FIRST BANK,7,20000,37820,WEB,2023-02-29T02:04:16Z,Clean
MERCHANT,OTHER_TIER1_BANKS,33,10000,1090,MOBILE,2023-02-29T02:08:08Z,Clean
PERSON,ACCESS BANK,11,64000,51900,MOBILE,2023-02-29T02:11:21Z,Clean
PERSON,UBA,11,787000,8060,MOBILE,2023-02-29T02:17:19Z,Clean
PERSON,STERLING BANK,29,58000,72740,MOBILE,2023-02-29T02:23:00Z,Clean
MERCHANT,FIDELITY BANK,8,289000,70920,MOBILE,2023-02-29T03:03:20Z,Clean
MERCHANT,STERLING BANK,14,43000,73220,MOBILE,2023-02-29T03:06:19Z,Clean
PERSON,GTB,7,8000,24460,MOBILE,2023-02-29T03:07:23Z,Clean
PERSON,FIDELITY BANK,8,38000,8440,MOBILE,2023-02-29T03:12:07Z,Clean
PERSON,ACCESS BANK,8,3000,12620,WEB,2023-02-29T03:17:01Z,Clean
PERSON,GTB,16,76000,7830,MOBILE,2023-02-29T03:21:06Z,Clean
PERSON,FIRST BANK,1,70000,2610,MOBILE,2023-02-29T04:05:06Z,Clean
PERSON,GTB,8,17000,27120,MOBILE,2023-02-29T04:20:21Z,Clean
PERSON,FIRST BANK,10,3000,89100,MOBILE,2023-02-29T05:02:08Z,Clean
PERSON,FIRST BANK,5,10000,62070,MOBILE,2023-02-29T05:17:16Z,Clean
PERSON,ACCESS BANK,9,53000,580,MOBILE,2023-02-29T05:21:02Z,Clean
PERSON,STERLING BANK,8,79000,14380,MOBILE,2023-02-29T06:01:06Z,Clean
PERSON,ACCESS BANK,11,17000,1620,MOBILE,2023-02-29T06:09:01Z,Clean
PERSON,FINTECH BANKS,7,5000,5190,MOBILE,2023-02-29T06:13:22Z,Clean
PERSON,ACCESS BANK,27,84000,12840,MOBILE,2023-02-29T06:15:23Z,Clean
MERCHANT,FIDELITY BANK,34,11000,8020,MOBILE,2023-02-29T06:16:06Z,Clean
PERSON,FINTECH BANKS,8,2000,420,MOBILE,2023-02-29T06:18:07Z,Clean
PERSON,ACCESS BANK,15,1600000,6,MOBILE,2023-02-29T07:06:16Z,Clean
PERSON,FINTECH BANKS,8,2000,36270,MOBILE,2023-02-29T08:12:12Z,Clean
PERSON,FIRST BANK,4,48000,32270,MOBILE,2023-02-29T08:14:00Z,Clean
PERSON,STERLING BANK,3,86000,54880,MOBILE,2023-02-29T08:15:10Z,Clean
PERSON,ACCESS BANK,18,217000,13870,MOBILE,2023-02-29T08:15:15Z,Clean
PERSON,FIRST BANK,27,9000,2980,MOBILE,2023-02-29T08:19:11Z,Clean
PERSON,GTB,8,4000,5860,WEB,2023-02-29T09:06:16Z,Clean
PERSON,GTB,11,247000,14830,WEB,2023-02-29T09:18:05Z,Clean
MERCHANT,ACCESS BANK,9,208000,88280,MOBILE,2023-02-29T10:12:13Z,Clean
MERCHANT,ACCESS BANK,13,16000,14240,MOBILE,2023-02-29T10:17:05Z,Clean
PERSON,FINTECH BANKS,29,291000,21250,WEB,2023-02-29T11:02:12Z,Clean
PERSON,ACCESS BANK,2,74000,11610,MOBILE,2023-02-29T11:08:05Z,Clean
PERSON,FIRST BANK,3,44000,10,IN-BRANCH,2023-02-29T11:22:11Z,Clean
PERSON,GTB,15,2000,10,WEB,2023-02-29T12:04:13Z,Clean
PERSON,ECOBANK,10,19000,11230,MOBILE,2023-02-29T12:19:05Z,Clean
PERSON,EXAMPLE BANK,10,42000,77920,MOBILE,2023-02-29T12:22:03Z,Clean
PERSON,ACCESS BANK,15,15000,87080,WEB,2023-02-29T13:00:07Z,Clean
PERSON,FIRST BANK,14,35000,3,MOBILE,2023-02-29T13:00:08Z,Clean
PERSON,GTB,13,251000,34930,MOBILE,2023-02-29T13:04:02Z,Clean
PERSON,ACCESS BANK,26,301000,10660,MOBILE,2023-02-29T13:04:20Z,Clean
PERSON,FIRST BANK,20,786000,67460,MOBILE,2023-02-29T13:07:03Z,Clean
PERSON,GTB,12,6000,72570,MOBILE,2023-02-29T13:10:14Z,Clean
PERSON,GTB,7,81000,77180,MOBILE,2023-02-29T13:12:00Z,Clean
PERSON,ACCESS BANK,6,38000,7080,MOBILE,2023-02-29T13:17:23Z,Clean
PERSON,FIRST BANK,11,7000,76370,MOBILE,2023-02-29T13:22:05Z,Clean
